dcop,p3,date_known,ub,p4,algo,p1,p2,mean_run,iteration,real_cost,anytime_cost,top_cost,memory_style,hyper_parametr
Uniformly random DCOPs,0.0,true,-1,-1.0,unsynchMono,1.0,1.0,1,155,2234,2147483647,2147483647,0,
Uniformly random DCOPs,0.0,true,-1,-1.0,unsynchMono,1.0,1.0,1,156,2234,2147483647,2147483647,0,
Uniformly random DCOPs,0.0,true,-1,-1.0,unsynchMono,1.0,1.0,1,157,2234,2147483647,2147483647,0,
Uniformly random DCOPs,0.0,true,-1,-1.0,unsynchMono,1.0,1.0,1,158,2234,2147483647,2147483647,0,
Uniformly random DCOPs,0.0,true,-1,-1.0,unsynchMono,1.0,1.0,1,159,2234,2147483647,2147483647,0,
Uniformly random DCOPs,0.0,true,-1,-1.0,unsynchMono,1.0,1.0,1,160,2234,2147483647,2147483647,0,
Uniformly random DCOPs,0.0,true,-1,-1.0,unsynchMono,1.0,1.0,1,161,2234,2147483647,2147483647,0,
Uniformly random DCOPs,0.0,true,-1,-1.0,unsynchMono,1.0,1.0,1,162,2234,2147483647,2147483647,0,
Uniformly random DCOPs,0.0,true,-1,-1.0,unsynchMono,1.0,1.0,1,163,2234,2147483647,2147483647,0,
Uniformly random DCOPs,0.0,true,-1,-1.0,unsynchMono,1.0,1.0,1,164,2234,2147483647,2147483647,0,
Uniformly random DCOPs,0.0,true,-1,-1.0,unsynchMono,1.0,1.0,1,165,2234,2147483647,2147483647,0,
Uniformly random DCOPs,0.0,true,-1,-1.0,unsynchMono,1.0,1.0,1,166,2234,2147483647,2147483647,0,
Uniformly random DCOPs,0.0,true,-1,-1.0,unsynchMono,1.0,1.0,1,167,2234,2147483647,2147483647,0,
Uniformly random DCOPs,0.0,true,-1,-1.0,unsynchMono,1.0,1.0,1,168,2234,2147483647,2147483647,0,
Uniformly random DCOPs,0.0,true,-1,-1.0,unsynchMono,1.0,1.0,1,169,2234,2147483647,2147483647,0,
Uniformly random DCOPs,0.0,true,-1,-1.0,unsynchMono,1.0,1.0,1,170,2234,2147483647,2147483647,0,
Uniformly random DCOPs,0.0,true,-1,-1.0,unsynchMono,1.0,1.0,1,171,2234,2147483647,2147483647,0,
Uniformly random DCOPs,0.0,true,-1,-1.0,unsynchMono,1.0,1.0,1,172,2234,2147483647,2147483647,0,
Uniformly random DCOPs,0.0,true,-1,-1.0,unsynchMono,1.0,1.0,1,173,2234,2147483647,2147483647,0,
Uniformly random DCOPs,0.0,true,-1,-1.0,unsynchMono,1.0,1.0,1,174,2234,2147483647,2147483647,0,
Uniformly random DCOPs,0.0,true,-1,-1.0,unsynchMono,1.0,1.0,1,175,2234,2147483647,2147483647,0,
Uniformly random DCOPs,0.0,true,-1,-1.0,unsynchMono,1.0,1.0,1,176,2234,2147483647,2147483647,0,
Uniformly random DCOPs,0.0,true,-1,-1.0,unsynchMono,1.0,1.0,1,177,2234,2147483647,2147483647,0,
Uniformly random DCOPs,0.0,true,-1,-1.0,unsynchMono,1.0,1.0,1,178,2234,2147483647,2147483647,0,
Uniformly random DCOPs,0.0,true,-1,-1.0,unsynchMono,1.0,1.0,1,179,2234,2147483647,2147483647,0,
Uniformly random DCOPs,0.0,true,-1,-1.0,unsynchMono,1.0,1.0,1,180,2234,2147483647,2147483647,0,
Uniformly random DCOPs,0.0,true,-1,-1.0,unsynchMono,1.0,1.0,1,181,2234,2147483647,2147483647,0,
Uniformly random DCOPs,0.0,true,-1,-1.0,unsynchMono,1.0,1.0,1,182,2234,2147483647,2147483647,0,
Uniformly random DCOPs,0.0,true,-1,-1.0,unsynchMono,1.0,1.0,1,183,2234,2147483647,2147483647,0,
Uniformly random DCOPs,0.0,true,-1,-1.0,unsynchMono,1.0,1.0,1,184,2234,2147483647,2147483647,0,
