p3,date_known,ub,p4,algo,p1,p2,mean_run,iteration,real_cost,anytime_cost,top_cost,memory_style,hyper_parametr
1.0,true,5,0.0,,0.2,1.0,2,1,1704,2147483647,2147483647,2,1000
1.0,true,5,0.0,,0.2,1.0,2,2,1704,2147483647,2147483647,2,1000
1.0,true,5,0.0,,0.2,1.0,2,3,1566,2147483647,2147483647,2,1000
1.0,true,5,0.0,,0.2,1.0,2,4,1536,2147483647,2147483647,2,1000
1.0,true,5,0.0,,0.2,1.0,2,5,1400,2147483647,2147483647,2,1000
1.0,true,5,0.0,,0.2,1.0,2,6,1462,2147483647,2147483647,2,1000
1.0,true,5,0.0,,0.2,1.0,2,7,1588,2147483647,2147483647,2,1000
1.0,true,5,0.0,,0.2,1.0,2,8,1226,2147483647,2147483647,2,1000
1.0,true,5,0.0,,0.2,1.0,2,9,1152,2147483647,2147483647,2,1000
1.0,true,5,0.0,,0.2,1.0,2,10,948,2147483647,2147483647,2,1000
1.0,true,5,0.0,,0.2,1.0,2,11,1086,2147483647,2147483647,2,1000
1.0,true,5,0.0,,0.2,1.0,2,12,894,2147483647,2147483647,2,1000
1.0,true,5,0.0,,0.2,1.0,2,13,1058,2147483647,2147483647,2,1000
1.0,true,5,0.0,,0.2,1.0,2,14,1074,2147483647,2147483647,2,1000
1.0,true,5,0.0,,0.2,1.0,2,15,1466,2147483647,2147483647,2,1000
1.0,true,5,0.0,,0.2,1.0,2,16,1072,2147483647,2147483647,2,1000
1.0,true,5,0.0,,0.2,1.0,2,17,1224,2147483647,2147483647,2,1000
1.0,true,5,0.0,,0.2,1.0,2,18,996,2147483647,2147483647,2,1000
1.0,true,5,0.0,,0.2,1.0,2,19,990,2147483647,2147483647,2,1000
1.0,true,5,0.0,,0.2,1.0,2,20,990,2147483647,2147483647,2,1000
1.0,true,5,0.0,,0.2,1.0,2,21,888,2147483647,2147483647,2,1000
1.0,true,5,0.0,,0.2,1.0,2,22,822,2147483647,940,2,1000
1.0,true,5,0.0,,0.2,1.0,2,23,822,2147483647,940,2,1000
1.0,true,5,0.0,,0.2,1.0,2,24,1060,2147483647,940,2,1000
1.0,true,5,0.0,,0.2,1.0,2,25,1060,2147483647,940,2,1000
1.0,true,5,0.0,,0.2,1.0,2,26,852,2147483647,940,2,1000
1.0,true,5,0.0,,0.2,1.0,2,27,954,2147483647,940,2,1000
1.0,true,5,0.0,,0.2,1.0,2,28,820,2147483647,940,2,1000
1.0,true,5,0.0,,0.2,1.0,2,29,886,2147483647,940,2,1000
1.0,true,5,0.0,,0.2,1.0,2,30,820,2147483647,940,2,1000
1.0,true,5,0.0,,0.2,1.0,2,31,872,2147483647,940,2,1000
1.0,true,5,0.0,,0.2,1.0,2,32,1020,2147483647,940,2,1000
1.0,true,5,0.0,,0.2,1.0,2,33,802,940,940,2,1000
1.0,true,5,0.0,,0.2,1.0,2,34,796,940,940,2,1000
1.0,true,5,0.0,,0.2,1.0,2,35,796,940,802,2,1000
1.0,true,5,0.0,,0.2,1.0,2,36,770,940,764,2,1000
1.0,true,5,0.0,,0.2,1.0,2,37,770,940,764,2,1000
1.0,true,5,0.0,,0.2,1.0,2,38,706,940,764,2,1000
1.0,true,5,0.0,,0.2,1.0,2,39,706,1016,764,2,1000
1.0,true,5,0.0,,0.2,1.0,2,40,706,996,764,2,1000
