dcop,p3,date_known,ub,p4,algo,p1,p2,mean_run,iteration,real_costanytime_cost,top_cost,memory_style,hyper_parametr
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,179,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,180,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,181,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,182,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,183,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,184,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,185,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,186,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,187,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,188,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,189,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,190,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,191,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,192,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,193,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,194,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,195,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,196,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,197,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,198,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,199,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,200,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,201,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,202,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,203,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,204,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,205,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,206,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,207,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,208,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,209,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,210,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,211,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,212,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,213,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,214,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,215,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,216,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,217,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,218,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,219,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,220,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,221,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,222,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,223,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,224,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,225,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,226,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,227,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,228,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,229,23802380,2380,1,0
Uniformly random DCOPs,1,TRUE,5,0,,1,1,1,230,23802380,2380,1,0
