algo,p1,p2,mean_run,p3,upper_bound,itiration,real_cost
dsa0.6,0.2,1.0,1,0.0,5,191,7335
dsa0.6,0.2,1.0,1,0.0,5,192,7335
dsa0.6,0.2,1.0,1,0.0,5,193,7335
dsa0.6,0.2,1.0,1,0.0,5,194,7335
dsa0.6,0.2,1.0,1,0.0,5,195,7335
dsa0.6,0.2,1.0,1,0.0,5,196,7335
dsa0.6,0.2,1.0,1,0.0,5,197,7335
dsa0.6,0.2,1.0,1,0.0,5,198,7335
dsa0.6,0.2,1.0,1,0.0,5,199,7335
dsa0.6,0.2,1.0,1,0.5,5,0,12588
dsa0.6,0.2,1.0,1,0.5,5,1,10928
dsa0.6,0.2,1.0,1,0.5,5,2,11021
dsa0.6,0.2,1.0,1,0.5,5,3,10662
dsa0.6,0.2,1.0,1,0.5,5,4,10018
dsa0.6,0.2,1.0,1,0.5,5,5,9726
dsa0.6,0.2,1.0,1,0.5,5,6,9939
dsa0.6,0.2,1.0,1,0.5,5,7,9803
dsa0.6,0.2,1.0,1,0.5,5,8,9251
dsa0.6,0.2,1.0,1,0.5,5,9,9159
dsa0.6,0.2,1.0,1,0.5,5,10,8836
dsa0.6,0.2,1.0,1,0.5,5,11,8749
dsa0.6,0.2,1.0,1,0.5,5,12,8723
dsa0.6,0.2,1.0,1,0.5,5,13,8614
dsa0.6,0.2,1.0,1,0.5,5,14,8296
dsa0.6,0.2,1.0,1,0.5,5,15,8392
dsa0.6,0.2,1.0,1,0.5,5,16,8158
dsa0.6,0.2,1.0,1,0.5,5,17,8289
dsa0.6,0.2,1.0,1,0.5,5,18,7484
dsa0.6,0.2,1.0,1,0.5,5,19,7240
dsa0.6,0.2,1.0,1,0.5,5,20,7252
dsa0.6,0.2,1.0,1,0.5,5,21,7288
dsa0.6,0.2,1.0,1,0.5,5,22,7149
dsa0.6,0.2,1.0,1,0.5,5,23,7372
dsa0.6,0.2,1.0,1,0.5,5,24,7091
dsa0.6,0.2,1.0,1,0.5,5,25,7232
dsa0.6,0.2,1.0,1,0.5,5,26,7168
dsa0.6,0.2,1.0,1,0.5,5,27,7016
dsa0.6,0.2,1.0,1,0.5,5,28,6979
dsa0.6,0.2,1.0,1,0.5,5,29,6935
dsa0.6,0.2,1.0,1,0.5,5,30,6965
dsa0.6,0.2,1.0,1,0.5,5,31,6786
dsa0.6,0.2,1.0,1,0.5,5,32,6797
dsa0.6,0.2,1.0,1,0.5,5,33,6989
dsa0.6,0.2,1.0,1,0.5,5,34,6887
dsa0.6,0.2,1.0,1,0.5,5,35,6887
dsa0.6,0.2,1.0,1,0.5,5,36,6816
dsa0.6,0.2,1.0,1,0.5,5,37,6816
dsa0.6,0.2,1.0,1,0.5,5,38,6848
dsa0.6,0.2,1.0,1,0.5,5,39,6739
dsa0.6,0.2,1.0,1,0.5,5,40,6774
